"technique","status","reason"
"Archived day-ahead forecast meteorology","blocked","No archived forecast vintages are present; realised target-day weather would be conditional."
"Wind-directed dynamic network","blocked","Wind direction is absent from the available weather files."
"Expectile GNAR","implemented","Validation-selected asymmetric squared-loss GNAR."
"Quantile GNAR","implemented","Validation-selected conditional-quantile GNAR."
"Threshold-hurdle GNAR","implemented","Logistic exceedance occurrence plus Gamma exceedance magnitude."
"Peak-weighted GNAR","implemented","Training peaks receive larger fitting weights."
"Risk-gated expectile GNAR","implemented","Forecast-origin regional risk gate blends the mean forecast toward an upper expectile."
"Regime-switching GNAR","already implemented","Scripts 46 and 47."
"Time-varying variance GNAR","already implemented","Script 39."
"Hierarchical station dynamics","already implemented","Scripts 42 and 43."
"Sequential conformal calibration","not a point-mean correction","Can recalibrate intervals but cannot identify a missing peak mean."
